Souhait=inconnU/Installé/suppRimé/Purgé/H=à garder 
| État=Non/Installé/fichier-Config/dépaqUeté/échec-conFig/H=semi-installé 
ii gettext 0.14.1-1
ii gettext-base 0.14.1-1
ii gettext-el 0.14.1-1
ii gnupg 1.2.4-2
ii gnus 5.10.6-5
ii gocr 0.38-1
ii gpart 0.1h-4
ii gpm 1.19.6-12.1
ii gramofile 1.6-5
ii grep 2.5.1.ds1-2
ii grep-dctrl 2.1.2
ii groff 1.18.1-15
ii groff-base 1.18.1-15
ii grub 0.93+cvs20031021-8
ii gs-common 0.3.3.1
ii gs-esp 7.07.1-1
ii gsfonts 6.0-2.2
ii gsfonts-x11 0.17
ii gsm-utils 1.10-5
ii gtk-engines-geramik-data 0.26-2
ii gtk-engines-qtpixmap 0.26-1
ii gtk2-engines-qtpixmap 0.26-1
ii gv 3.5.8-31
ii gzip 1.3.5-7
ii hdparm 5.5-1
ii hermes1 1.3.3+really1.3.2-2
ii hexedit 1.2.2-1
ii host 20000331-9
ii hostname 2.13
ii hotplug 0.0.20040105-3
ii hotplug-knoppix 0.5-1
ii hotplug-utils 0.0.20020401-4
ii hpijs 1.5-1
ii hping2 2.rc2-3
ii html2text 1.3.2a-1
ii httptunnel 3.3-2
ii hunt 1.5-3
ii hwdata-knoppix 0.101-3
ii hwsetup 1.0-14
ii ibod 1.5.0-3
ii ifupdown 0.6.4-4.6
ii ijsgimpprint 4.2.6-2
ii imlib-base 1.9.14-14
ii imlib1 1.9.14-14
ii info 4.6-1
ii initrd-tools 0.1.57
ii intltool-debian 0.30+20040211
ii ipchains 1.3.10-15
ii ipppd 3.3-7
ii iproute 20010824-13
ii iptables 1.2.9-4
ii iptraf 2.7.0-5
ii ipx 2.2.3-1
ii ircii 20030315-1
ii irda-common 0.9.15-5
ii irda-tools 0.9.15-5
ii isapnptools 1.26-2
ii isdnactivecards 3.3-7
ii isdnutils-base 3.3-7
ii isdnutils-xtools 3.3-7
ii isdnvboxclient 3.3-7
ii java-common 0.22
ii jfsutils 1.1.4-2
ii joe 2.8-23
ii joystick 20010903-2
ii kbackup 1.2.11-13
ii kbackup-multibuf 1.2.11-13
ii kbdconfig 0.5-3
ii kde-update-menu-knoppix 0.5-8
ii kdelock-knoppix 0.5-1
ii kernel-image-2.4.24-xfs 10.00.Custom
ii kernel-package 8.080
ii keyboard-tr-knoppix 0.5-2
ii kismet 3.0.1-1
ii klogd 1.4.1-13
ii knoppix-bookmarks 0.5-2
ii knoppix-customize 0.07-2
ii knoppix-graphics 3.3-2
ii knoppix-hdinstall 0.39-3
ii knoppix-menu 0.5-2
ii knoppix-remountrw 0.5-2
ii knoppix-sounds 0.5-1
ii knoppix-terminalserver 0.5-17
ii knx-alsa 0.1-7
ii knx-flashplugin 0.1-3
ii kudzu-knoppix 1.1.3-3
ii kudzu-knoppix-dev 1.1.3-3
ii kudzu-knoppix-vesa 1.1.3-3
ii latex-ttf-fonts 0.1-2
ii lde 2.6.0-6
ii less 381-3
ii lesstif1 0.93.94-2
ii lftp 2.6.12-1
ii lha 1.14i-6
ii libacl1 2.2.23-1
ii libao2 0.8.4-1.1
ii libapache-mod-ssl 2.8.16-7
ii libapm1 3.2.1-2
ii libapt-pkg-perl 0.1.11
ii libart-2.0-2 2.3.16-1
ii libart-2.0-dev 2.3.16-1
ii libasound2 1.0.1-1
ii libasound2-dev 1.0.1-1
ii libaspell15 0.50.5-1
ii libatk1.0-0 1.4.1-1
ii libatm1 2.4.1-14
ii libattr1 2.4.15-1
ii libaudio-dev 1.6b-3
ii libaudio2 1.6b-3
ii libaudiofile-dev 0.2.3-4
ii libaudiofile0 0.2.3-4
ii libavc1394-0 0.4.1-2
ii libblkid1 1.34+1.35-WIP-2004.01.31-1
ii libbz2-1.0 1.0.2-1
ii libbz2-dev 1.0.2-1
ii libc6 2.3.2.ds1-11
ii libc6-dev 2.3.2.ds1-11
ii libcap1 1.10-13
ii libcapi20-2 3.3-7
ii libcdparanoia0 3a9.8-10
ii libcomerr2 1.34+1.35-WIP-2004.01.31-1
ii libconsole 0.2.3dbs-48
ii libcupsimage2 1.1.20final-14
ii libcupsys2 1.1.20final-14
ii libcupsys2-dev 1.1.20final-14
ii libcurl2 7.11.0-4
ii libdate-manip-perl 5.42a-2
ii libdb1-compat 2.1.3-7
ii libdb2 2.7.7.0-8.1
ii libdb3 3.2.9-19
ii libdb3-util 3.2.9-19
ii libdb4.0 4.0.14-1.3
ii libdb4.1 4.1.25-16
ii libdb4.2 4.2.52-10
ii libdbd-mysql-perl 2.9003-1
ii libdbi-perl 1.40-1
ii libdevmapper1.00 1.00.07-3.1
ii libdm0 2.1.0-1
ii libdns11 9.2.3-2
ii libdps1 4.3.0-0pre1v5
ii libdv2 0.99-2
ii libdvdnav1 0.1.3-1
ii libdvdread2 0.9.3-2
ii libecasound7c102 2.0.4-12
ii libesd0 0.2.29-1
ii libexpat1 1.95.6-6
ii libexpat1-dev 1.95.6-6
ii libfam-dev 2.7.0-5
ii libfam0c102 2.7.0-5
ii libflac4 1.1.0-10
ii libflite1 1.2-release-1
ii libfontconfig1 2.2.1-14
ii libfontconfig1-dev 2.2.1-14
ii libfreetype6 2.1.7-2
ii libfreetype6-dev 2.1.7-2
ii libft-perl 1.2-13.1
ii libgc1 6.2+6.3alpha4-1
ii libgcc1 3.3.3-6
ii libgcj-common 3.3.3-0pre3
ii libgcj4 3.3.3-0pre3
ii libgcj4-dev 3.3.3-0pre3
ii libgcrypt-dev 1.1.12-4
ii libgcrypt1 1.1.12-4
ii libgcrypt7 1.1.90-1.1
ii libgdbm-dev 1.8.3-2
ii libgdbm3 1.8.3-2
ii libgimpprint1 4.2.6-2
ii libgksu0 1.0.3-2
ii libglib1.2 1.2.10-9
ii libglib1.2-dev 1.2.10-9
ii libglib2.0-0 2.2.3-1
ii libglib2.0-data 2.2.3-1
ii libglib2.0-dev 2.2.3-1
ii libglide2 2002.04.10-5
ii libglide3 2002.04.10-5
ii libgnomecanvas2-common 2.4.0-1
ii libgnomeprint2.2-data 2.4.2-2
ii libgnutls10 1.0.4-3
ii libgnutls7 0.8.12-5
ii libgnutls7-dev 0.8.12-5
ii libgpg-error0 0.6-0.1
ii libgpmg1 1.19.6-12.1
ii libgsf-1 1.8.2-6
ii libgsm1 1.0.10-12
ii libgsmme1c102 1.10-5
ii libgtk1.2 1.2.10-16
ii libgtk1.2-common 1.2.10-16
ii libgtk2.0-0 2.2.4-3
ii libgtk2.0-common 2.2.4-3
ii libice-dev 4.3.0-0pre1v5
ii libice6 4.3.0-0pre1v5
ii libid3tag0 0.15.0b-3
